rounds,NDCG5,NDCG10,NDCG20,HR5,HR10,HR20
1,1.87,2.04,2.09,2.46,2.99,3.21
2,0.24,0.28,0.33,0.32,0.43,0.64
3,0.05,0.08,0.11,0.11,0.21,0.32
4,0.13,0.21,0.4,0.21,0.43,1.18
5,0.7,0.77,0.99,1.28,1.5,2.35
6,1.71,1.88,2.18,2.46,2.99,4.17
7,3.24,3.71,3.95,4.81,6.3,7.27
8,4.77,5.13,5.62,6.73,7.8,9.72
9,5.99,6.25,6.78,8.01,8.87,11.0
10,6.53,7.2,7.68,8.44,10.47,12.39
11,8.28,8.87,9.35,10.58,12.39,14.32
12,9.27,9.85,10.24,11.75,13.57,15.17
13,10.4,10.78,11.19,13.03,14.21,15.81
14,11.29,11.86,12.25,13.78,15.49,17.09
15,12.01,12.6,13.14,14.32,16.13,18.27
16,12.23,12.98,13.61,14.42,16.77,19.34
17,13.08,13.75,14.4,14.96,16.99,19.44
18,13.38,13.96,14.34,15.92,17.73,19.23
19,14.05,14.78,15.22,16.03,18.27,19.98
20,14.26,14.71,15.33,16.56,17.95,20.41
21,14.58,15.16,15.77,16.45,18.27,20.73
22,14.98,15.57,16.2,16.88,18.7,21.15
23,15.15,15.67,16.23,17.52,19.12,21.37
24,15.45,15.92,16.62,17.63,19.02,21.79
25,15.68,16.29,16.99,17.63,19.44,22.22
26,16.15,16.64,17.38,18.27,19.77,22.65
27,16.47,17.01,17.55,18.59,20.3,22.44
28,16.28,17.02,17.63,18.27,20.51,22.97
29,16.74,17.5,18.06,18.8,21.15,23.4
30,17.17,17.8,18.31,19.44,21.47,23.5
31,17.56,18.2,18.81,19.66,21.69,24.15
32,17.45,18.2,18.77,19.87,22.22,24.47
33,18.15,18.75,19.41,20.73,22.54,25.11
34,18.29,19.15,19.69,20.51,23.18,25.32
35,18.53,19.47,20.06,20.62,23.5,25.85
36,18.67,19.46,20.19,21.15,23.61,26.5
37,18.86,19.7,20.33,21.47,24.04,26.5
38,19.21,19.84,20.49,22.22,24.15,26.71
39,19.65,20.3,20.93,22.76,24.79,27.24
40,19.56,20.4,21.08,22.33,24.89,27.46
41,20.14,21.05,21.51,22.76,25.53,27.35
42,20.79,21.27,21.96,23.72,25.21,27.88
43,21.05,21.75,22.05,24.04,26.18,27.35
44,20.76,21.57,21.94,23.61,26.07,27.56
45,21.11,21.88,22.41,23.61,25.96,28.1
46,21.16,21.92,22.4,23.72,26.07,27.99
47,21.38,22.15,22.63,24.04,26.39,28.31
48,21.61,22.38,23.05,23.93,26.28,28.95
49,22.01,22.52,23.14,24.68,26.28,28.74
50,22.42,22.94,23.46,24.79,26.39,28.42
51,22.79,23.2,23.75,25.32,26.6,28.85
52,22.73,23.31,23.75,25.0,26.82,28.53
53,22.76,23.38,23.97,25.11,27.03,29.38
54,23.01,23.77,24.42,24.89,27.24,29.81
55,23.2,23.79,24.24,25.53,27.35,29.17
56,23.31,23.9,24.28,25.96,27.78,29.27
57,23.58,24.15,24.73,25.96,27.67,30.02
58,23.78,24.19,24.75,26.5,27.78,30.02
59,23.92,24.49,24.91,26.6,28.42,30.13
60,24.23,24.74,25.23,26.82,28.42,30.34
61,24.19,24.73,25.36,26.82,28.53,31.09
62,24.16,24.78,25.42,26.82,28.74,31.3
63,24.14,25.02,25.67,26.5,29.17,31.73
64,24.58,25.14,25.79,27.35,29.06,31.62
65,24.43,25.19,25.86,26.92,29.27,31.94
66,24.41,25.11,25.88,27.03,29.17,32.27
67,24.46,25.27,25.81,27.03,29.59,31.73
68,24.86,25.4,26.05,27.56,29.27,31.84
69,24.82,25.57,26.22,27.46,29.7,32.27
70,24.94,25.77,26.29,27.46,30.02,32.05
71,24.97,25.75,26.34,27.56,30.02,32.37
72,25.48,26.2,26.8,27.99,30.23,32.59
73,25.13,25.92,26.71,27.46,29.91,33.01
74,25.19,25.99,26.63,27.56,30.02,32.48
75,25.1,26.1,26.64,27.56,30.66,32.8
76,25.44,26.27,26.81,28.1,30.66,32.8
77,25.38,26.29,26.91,27.88,30.77,33.23
78,25.38,26.39,26.87,28.1,31.2,33.12
79,25.19,26.1,26.72,27.99,30.77,33.23
80,25.5,26.43,27.06,28.1,30.98,33.44
81,25.39,26.2,26.85,28.31,30.88,33.44
82,25.52,26.22,26.82,28.53,30.66,33.01
83,25.53,26.25,27.08,28.31,30.56,33.87
84,25.47,26.37,27.02,28.31,31.09,33.65
85,25.33,26.36,26.81,28.31,31.52,33.33
86,25.48,26.4,27.06,28.63,31.41,34.08
87,25.51,26.63,27.22,28.31,31.73,34.08
88,25.58,26.59,27.17,28.53,31.62,33.87
89,25.65,26.77,27.19,28.74,32.16,33.87
90,25.75,26.81,27.41,28.63,31.84,34.19
91,25.57,26.59,27.09,28.74,31.84,33.76
92,25.74,26.72,27.33,28.74,31.73,34.08
93,25.94,26.8,27.33,29.06,31.73,33.76
94,25.68,26.62,27.21,29.06,31.94,34.29
95,25.31,26.64,27.04,28.42,32.48,34.08
96,26.08,27.02,27.56,29.27,32.16,34.29
97,26.18,27.04,27.56,29.49,32.16,34.19
98,25.76,26.63,27.27,29.17,31.84,34.29
99,26.05,27.01,27.66,28.95,31.84,34.4
100,25.87,26.86,27.46,29.27,32.37,34.72
