num_users,k_clusters,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
20,2,2434,18.85206234518949,29.548393886881858,50.61893363096112,82.98405635347216,17.38113490175346,27.657145514533834,50.14664042842737,83.64997405547233,0.0,0.0,0.0
50,2,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,17.514618982140263,30.111927210249533,50.02423136089109,85.18030768372425,0.0,0.0,0.0
100,2,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,19.60810550328425,32.596573940032755,50.29832849487821,85.19523156214997,0.0,0.0,0.0
150,2,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,17.962882678143888,30.79249811573065,50.6112896005487,86.26048081863102,0.0,0.0,0.0
200,2,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,17.305366297620278,29.923776333968107,49.68042326155194,86.06227745151062,0.0,0.0,0.0
300,2,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,16.770799103166393,29.425022726506302,50.075728092695236,86.47354077217017,0.0,0.0,0.0
400,2,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,16.515020712724436,30.03276178601799,49.810399437223396,86.30184034563035,0.0,0.0,0.0
600,2,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,16.535158058096815,29.600287088002727,49.491646441962644,86.1080075900678,0.0,0.0,0.0
800,2,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,16.522610778170648,29.43617974624839,49.53212496107016,86.04629300352072,0.0,0.0,0.0
1000,2,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,16.340275465145247,29.13105633995953,49.27628523657242,85.9742761911297,0.0,0.0,0.0
1083,2,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,16.248524203069657,28.958825265643444,49.01490554899646,86.03896103896103,0.0,0.0,0.0
20,5,2434,18.85206234518949,29.548393886881858,50.61893363096112,82.98405635347216,18.76418871951518,27.97791778032328,50.64631734563006,84.06702989005394,0.0,0.0,0.0
50,5,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,20.140037795580458,33.14890294184489,51.91232646372441,86.4148386530444,0.0,0.0,0.0
100,5,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,22.404446860946468,33.70346727788601,53.32812650298903,87.8490603407735,0.0,0.0,0.0
150,5,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,20.52124641710115,32.67058456751737,52.27515909074026,88.22224370346426,0.0,0.0,0.0
200,5,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,19.50303671735651,32.30793228901215,52.88874552697433,87.33814500588626,0.0,0.0,0.0
300,5,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,18.877230035606498,30.646003436797645,51.348461970434336,88.69853555470628,0.0,0.0,0.0
400,5,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,19.35300710219872,32.43034053103923,53.44690372604375,88.78692676455925,0.0,0.0,0.0
600,5,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,19.058188739688017,31.888473666122604,52.58347648133969,88.67567990614232,0.0,0.0,0.0
800,5,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,18.76628834545761,31.46413722395774,51.9201894024607,88.49449081305528,0.0,0.0,0.0
1000,5,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,18.29390355499009,31.423723672546398,52.1904960299768,88.0285010402847,0.0,0.0,0.0
1083,5,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,18.369982290436838,30.637544273907917,51.59386068476979,89.06065525383707,0.0,0.0,0.0
20,10,2434,18.85206234518949,29.548393886881858,50.61893363096112,82.98405635347216,22.38821335213088,33.26810487463408,52.16800794979489,83.2433596694765,0.0,0.0,0.0
50,10,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,20.628942701551818,33.13394102291335,51.57190829382129,85.26201168638104,0.0,0.0,0.0
100,10,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,22.736872910970234,34.8058714401789,54.56496563038959,86.38498196442413,0.0,0.0,0.0
150,10,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,20.61283473400159,33.24823077174492,54.57610189876899,87.69032468697993,0.0,0.0,0.0
200,10,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,20.482274740956893,33.183883707368835,54.510515276144154,87.62849172310024,0.0,0.0,0.0
300,10,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,20.54739169875181,32.25775301119135,54.93634542686278,88.52049407592926,0.0,0.0,0.0
400,10,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,19.892939436529062,32.53584373092793,55.28538429742406,88.7115157464793,0.0,0.0,0.0
600,10,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,19.932809028983197,32.24184030192773,55.55549792018334,88.29157973359524,0.0,0.0,0.0
800,10,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,19.756027035006333,32.18221662813377,55.29258112963975,88.24639822030163,0.0,0.0,0.0
1000,10,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,19.646917807737836,32.04269332061825,55.32976645132522,88.50804133484895,0.0,0.0,0.0
1083,10,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,19.587514757969306,31.965761511216055,55.29442148760331,88.37072018890201,0.0,0.0,0.0
20,15,2434,18.85206234518949,29.548393886881858,50.61893363096112,82.98405635347216,22.04446304618126,33.37792854974985,52.125625361020546,80.3477447841709,0.0,0.0,0.0
50,15,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,21.475852435533415,34.29784986830939,52.372382398024435,85.86631344688743,0.0,0.0,0.0
100,15,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,22.506310328444755,35.167858159631145,53.814657249088036,87.18401153790235,0.0,0.0,0.0
150,15,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,21.376911231884776,33.98156228769104,54.351490798102894,87.51726540420931,0.0,0.0,0.0
200,15,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,21.023050520406343,34.643027440335906,53.889787698793405,88.28939170216302,0.0,0.0,0.0
300,15,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,20.862714930952503,33.11281896521148,54.87993091274624,88.73110821222646,0.0,0.0,0.0
400,15,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,20.487056448454407,32.86482489523729,55.28450330783652,88.45598122278443,0.0,0.0,0.0
600,15,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,20.401806848143202,32.89534394412326,55.2945058407756,88.75503202601125,0.0,0.0,0.0
800,15,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,20.509636426117147,32.489832770586,55.421665572380626,88.96081502213413,0.0,0.0,0.0
1000,15,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,20.121840871038597,32.094327929412465,55.207002837803394,88.73610999093596,0.0,0.0,0.0
1083,15,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,19.89005312868949,31.93993506493506,55.18373671782763,88.92045454545455,0.0,0.0,0.0
20,20,2434,18.85206234518949,29.548393886881858,50.61893363096112,82.98405635347216,22.253835384419578,32.8145015224053,51.83467461646156,76.25389412674636,0.0,0.0,0.0
50,20,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,21.534679652045767,34.35069957612166,51.93965432137356,85.4783804256906,0.0,0.0,0.0
100,20,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,23.430859761855643,35.99698831473885,54.53366211822391,86.63492058765821,0.0,0.0,0.0
150,20,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,20.95593983958892,34.14326286538034,54.69839476190697,86.82488644745501,0.0,0.0,0.0
200,20,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,22.014981978602425,34.74301352652177,54.25727672651036,87.88648106751764,0.0,0.0,0.0
300,20,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,21.08116373051717,33.19978047762762,55.543633325971804,89.2362113870871,0.0,0.0,0.0
400,20,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,20.5912812145997,33.11311869970495,55.64918616745248,88.68422270672814,0.0,0.0,0.0
600,20,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,20.430724136872072,33.1411472929591,55.179438007048134,88.59499067095692,0.0,0.0,0.0
800,20,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,20.35695591812102,32.69265680945511,55.38649106395672,88.7127933293433,0.0,0.0,0.0
1000,20,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,20.082552037218374,32.387174495229,55.70269115648596,88.99171807172768,0.0,0.0,0.0
1083,20,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,20.51357733175915,32.65569657615112,55.62647579693034,88.831906729634,0.0,0.0,0.0
40,40,4853,15.616752204527435,27.80997062592591,48.22643455741862,82.50847859231754,20.840118690181285,32.53922132081863,49.90782173035392,77.04294052574248,0.0,0.0,0.0
50,40,6408,17.340676693611382,29.941317366402064,50.2775496970896,83.76664875647025,22.603573796524287,35.27697346704835,50.938657181806256,79.94150077391471,0.0,0.0,0.0
100,40,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,23.70770424355077,36.56601164365213,54.29052366270397,84.48310588430286,0.0,0.0,0.0
150,40,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,21.843905421527722,34.896803888709904,54.46901691694732,86.27334325659798,0.0,0.0,0.0
200,40,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,21.695630402128007,34.63516621594825,54.0339825078859,86.88494761831845,0.0,0.0,0.0
300,40,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,21.470817402041757,33.6939542882267,55.283474121753834,87.91040122130109,0.0,0.0,0.0
400,40,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,21.02947897791481,34.14796201747038,55.54894994971528,88.55133702799257,0.0,0.0,0.0
600,40,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,21.18562392693874,33.644901854123134,55.6429329267643,88.75454152105821,0.0,0.0,0.0
800,40,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,20.532093359433286,33.461400438103475,55.224240784903934,88.84616349417838,0.0,0.0,0.0
1000,40,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,20.313756352347493,33.09260238231352,55.868065014802916,89.44263439596962,0.0,0.0,0.0
1083,40,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,20.698051948051948,33.2017414403778,55.61171782762691,89.32998819362456,0.0,0.0,0.0
100,100,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,24.830483399723533,37.382943486068605,52.80889383991076,78.75552157880422,0.0,0.0,0.0
100,100,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,24.830483399723533,37.382943486068605,52.80889383991076,78.75552157880422,0.0,0.0,0.0
100,100,12218,18.67285342029165,32.412560789542574,50.00136466332406,84.11434057892065,24.830483399723533,37.382943486068605,52.80889383991076,78.75552157880422,0.0,0.0,0.0
150,100,18845,17.082129507575832,29.982579310253442,50.35169598032801,84.3554998831478,23.61561451198048,36.529344571825334,53.717046916586014,82.53204966098666,0.0,0.0,0.0
200,100,25636,16.726587862092362,29.576892583677452,49.27173775058187,84.25582565792614,23.212966096392012,36.134965617515995,54.028815167546405,83.94564186777869,0.0,0.0,0.0
300,100,38098,16.456863786963414,29.150603374830713,49.79253202467972,84.83716364094616,21.775731620073383,35.35011481971557,54.300952531883105,86.25335527169905,0.0,0.0,0.0
400,100,50749,16.215796219388718,29.12717075654072,49.72445894774532,84.95495337257887,22.349007645063363,35.73792681477181,55.289342040139694,87.17086344669364,0.0,0.0,0.0
600,100,75966,16.105696068291206,28.400011003788304,49.31237263522354,84.61514099962697,21.32371375873411,34.61349358406323,55.08056895795596,87.86435435221988,0.0,0.0,0.0
800,100,101422,16.1735978130214,28.23935601799448,49.4677437408828,84.67499896809743,21.19742575312633,34.24392812515318,55.257919244113005,88.591354443287,0.0,0.0,0.0
1000,100,127671,16.021767652756868,27.957472315344575,49.350318184827124,84.66240563534876,20.705042619692467,34.06494698625125,55.53257926084448,88.94834267723154,0.0,0.0,0.0
1083,100,137732,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,21.067001180637543,33.8474025974026,55.71133412042503,89.293093270366,0.0,0.0,0.0
